Start,End,Open,High,Low,Close,Volume,Market Cap
2024-03-10,2024-03-11,144.7713,148.2697,144.3199,146.8339,82504048.68989547,2693875589.543554
2024-03-09,2024-03-10,147.4896,148.5041,144.6791,145.0611,101340598.78397213,2700588313.3205576
2024-03-08,2024-03-09,144.335,150.6826,143.6184,147.6827,115341119.4738676,2712777562.780488
2024-03-07,2024-03-08,142.7124,148.0454,139.1852,144.4198,132167645.89198606,2655202103.9477353
2024-03-06,2024-03-07,142.0863,150.5033,139.1539,142.8312,148017597.60278746,2662630794.2961674
2024-03-05,2024-03-06,149.3506,150.0688,136.0529,142.0617,139527491.72280702,2697072951.4982457
2024-03-04,2024-03-05,149.7453,150.3468,143.7779,149.1079,118399990.63066202,2709491245.567944
2024-03-03,2024-03-04,141.379,150.6179,140.8256,150.4399,107143841.8466899,2686914999.1707315
2024-03-02,2024-03-03,140.0644,140.9207,137.6238,140.9207,119282380.32055749,2561893932.020906
2024-03-01,2024-03-02,135.1886,141.1874,134.582,140.1065,114378876.94773519,2521317216.2996516
2024-02-29,2024-03-01,132.3726,136.8883,131.8742,135.0243,134002892.69337979,2478874995.9094076
2024-02-28,2024-02-29,134.4091,137.6715,131.9306,132.6084,118808736.66898955,2476372549.958188
2024-02-27,2024-02-28,131.0736,136.8858,130.5448,133.9292,138764406.9303136,2443406318.9930315
2024-02-26,2024-02-27,128.9525,130.0071,125.7745,130.0071,330551614.902439,2363231244.9407663
2024-02-25,2024-02-26,125.6413,129.2061,123.918,129.1407,167221152.2682927,2318328119.271777
2024-02-24,2024-02-25,119.9412,125.6671,119.1611,125.5749,135038507.75609756,2255684877.8327527
2024-02-23,2024-02-24,122.7099,122.7364,119.0514,120.0343,142339067.90592334,2227102655.9686413
2024-02-22,2024-02-23,121.3714,125.7216,121.0376,122.9306,126426481.62020905,2263447555.083624
2024-02-21,2024-02-22,123.7667,124.9923,117.1421,121.1059,123721701.6097561,2218610845.2020907
2024-02-20,2024-02-21,112.8011,124.2579,112.4795,123.5163,197341909.7142857,2199123213.4738674
2024-02-19,2024-02-20,122.3645,123.0736,110.3006,113.2201,131963168.1358885,2183855741.965157
2024-02-18,2024-02-19,121.3353,123.2483,119.0586,122.3521,92397152.67944251,2225129943.6794424
2024-02-17,2024-02-18,122.735,122.735,118.9483,120.769,113438203.36585365,2211160610.878049
2024-02-16,2024-02-17,126.4898,128.5783,120.6359,122.8226,146723976.46689895,2302391110.226481
2024-02-15,2024-02-16,128.6237,129.0276,124.7677,125.8809,155802043.6620209,2335077310.6585364
2024-02-14,2024-02-15,127.7333,131.1609,126.7341,127.7632,175411990.09059232,2364295419.8675957
2024-02-13,2024-02-14,127.384,128.5179,123.4106,127.8023,230636162.88850173,2308974180.184669
2024-02-12,2024-02-13,121.0597,127.9415,118.7368,126.6199,182516915.95470384,2245979913.087108
2024-02-11,2024-02-12,119.6378,123.2504,117.7246,120.7948,202104123.09756097,2218013873.0069685
2024-02-10,2024-02-11,122.2188,123.657,115.8897,119.4143,239352648.11149827,2207571804.878049
2024-02-09,2024-02-10,127.4077,128.5939,120.2827,122.5371,369231398.3066202,2278765109.3937283
2024-02-08,2024-02-09,130.555,132.4247,118.7652,128.149,700535290.1881533,2297835677.3867598
2024-02-07,2024-02-08,104.2872,134.5424,104.2872,130.4568,1648231791.5017421,2303031063.6829267
2024-02-06,2024-02-07,164.6207,166.346,101.4138,105.0406,462613757.3066202,2471014796.2020907
2024-02-05,2024-02-06,166.0812,167.7145,163.3686,165.1889,86404150.65853658,3042915887.9059234
2024-02-04,2024-02-05,165.0449,167.4122,164.8678,165.7878,87408009.63414635,3051828419.3972125
2024-02-03,2024-02-04,168.7179,169.4944,162.4237,164.8902,101085496.99303135,3073311931.7665505
2024-02-02,2024-02-03,165.6315,170.3659,165.5341,168.2358,122618378.96167247,3083605388.379791
2024-02-01,2024-02-02,164.1983,168.7912,163.9739,166.4166,155444596.07665506,3067289199.1498256
2024-01-31,2024-02-01,159.9319,166.1809,158.52,164.8598,138597277.0487805,2994085697.707317
2024-01-30,2024-01-31,167.6825,171.5969,159.9909,160.0775,148583817.41811848,3033971876.30662
2024-01-29,2024-01-30,160.0256,169.2161,159.75,167.9245,104342894.80139373,3022527166.2090592
2024-01-28,2024-01-29,159.8681,161.8613,158.9623,160.5373,77557562.15679443,2949713613.773519
2024-01-27,2024-01-28,159.5549,161.4813,157.489,160.1446,98823678.21602787,2935674298.0278745
2024-01-26,2024-01-27,157.4584,161.6841,156.1626,159.2914,112579984.32055749,2912829774.12892
